cell_id,avg_vm,n_trials
2024_10_22_E1,-32.69764672223136,124
2024_10_22_E3,-23.32360627672362,51
2024_10_23_E1,-33.50178170684631,67
2024_10_24_E2,-33.55808648069496,73
2024_10_25_E1,-32.136564224149026,84
2025_02_18_E2,-29.776470006466745,64
2025_02_19_E1,-46.855197845588094,62
2025_02_19_E3,-34.210264605497464,63
2025_02_20_E2,-40.97977427440363,41
2025_02_20_E3,-34.26614523980398,54
