cell_id,avg_vm,n_trials
2025_01_13_E1,-37.345064317032055,71
2025_01_13_E4,-42.610431507846386,78
2025_01_28_E1,-39.40223417700769,90
2025_01_31_E1,-38.58948161282615,72
2025_01_31_E4,-44.41172347025489,72
2025_01_31_E6,-34.816722226772754,39
2025_02_04_E1,-35.48941668170261,63
2025_02_13_E1,-35.666421215099895,59
2025_02_13_E3,-41.360233910001455,103
2025_02_14_E1,-34.59946739693341,55
2025_02_14_E3,-34.670314835660236,64
