cell_id,avg_vm,n_trials
2024_10_22_E1,-34.2567756979076,8
2024_10_22_E3,-29.74806007182095,14
2024_10_23_E1,-33.5025498850189,14
2024_10_24_E2,-33.838282582992115,5
2024_10_25_E1,-33.0537776242462,24
2025_02_18_E2,-30.58234044719802,13
2025_02_19_E1,-46.401329283381415,3
2025_02_19_E3,-39.779881196977286,2
2025_02_20_E2,-41.232722510811826,14
2025_02_20_E3,-41.22776611147759,16
