condition,date,expNumber,trace,negative_idx,positive_idx,negative_time_ms,positive_time_ms,negative_position_deg,positive_position_deg,negative_magnitude_deg,positive_magnitude_deg,negative_to_positive_change_deg,final_idx,final_time_ms,final_position_deg,final_distance_from_baseline_deg
antennae glued – quiescence,2025_01_13,3,2,24,38,240,380,-7.483333333333332,-0.1555555555555556,7.483333333333332,-0.1555555555555556,7.327777777777776,57,570,-0.5111111111111104,0.5111111111111104
antennae glued – quiescence,2025_01_13,4,3,22,40,220,400,-17.489130434782606,3.3500000000000014,17.489130434782606,3.3500000000000014,20.839130434782607,57,570,1.684782608695652,1.684782608695652
antennae glued – quiescence,2025_01_28,1,4,21,38,210,380,-18.76666666666667,5.016666666666666,18.76666666666667,5.016666666666666,23.783333333333335,57,570,2.075,2.075
antennae glued – quiescence,2025_01_29,1,5,19,57,190,570,-10.33,0.7550000000000002,10.33,0.7550000000000002,11.085,57,570,0.7550000000000002,0.7550000000000002
antennae glued – quiescence,2025_01_31,1,6,22,37,220,370,-19.08235294117647,4.2705882352941185,19.08235294117647,4.2705882352941185,23.352941176470587,57,570,2.276470588235294,2.276470588235294
antennae glued – quiescence,2025_01_31,2,7,22,37,220,370,-19.47,4.3999999999999995,19.47,4.3999999999999995,23.869999999999997,57,570,2.92,2.92
antennae glued – quiescence,2025_01_31,3,8,21,57,210,570,-15.265000000000002,6.0200000000000005,15.265000000000002,6.0200000000000005,21.285000000000004,57,570,6.0200000000000005,6.0200000000000005
antennae glued – quiescence,2025_01_31,4,9,20,50,200,500,-11.439215686274508,0.35882352941176465,11.439215686274508,0.35882352941176465,11.798039215686273,57,570,-0.48039215686274517,0.48039215686274517
antennae glued – quiescence,2025_02_04,1,10,21,57,210,570,-13.669354838709676,-0.1338709677419354,13.669354838709676,-0.1338709677419354,13.535483870967742,57,570,-0.1338709677419354,0.1338709677419354
antennae glued – quiescence,2025_02_04,2,11,22,29,220,290,-13.015789473684212,-0.21842105263157943,13.015789473684212,-0.21842105263157943,12.797368421052632,57,570,-0.513157894736842,0.513157894736842
antennae glued – quiescence,2025_02_13,1,12,20,31,200,310,-15.111538461538462,2.2276923076923074,15.111538461538462,2.2276923076923074,17.33923076923077,57,570,-0.2515384615384616,0.2515384615384616
